1; 01/01/2023; 10:00; 02/01/2023; 11:15
2; 02/01/2023; 02:30; 03/01/2023; 03:45
3; 03/01/2023; 04:45; 04/01/2023; 06:00
4; 04/01/2023; 09:15; 05/01/2023; 10:30
5; 05/01/2023; 11:30; 06/01/2023; 12:45
6; 06/01/2023; 06:00; 07/01/2023; 07:15
0; 07/01/2023; 01:45; 08/01/2023; 03:00
1; 08/01/2023; 08:30; 09/01/2023; 09:45
2; 09/01/2023; 07:00; 10/01/2023; 08:15
3; 10/01/2023; 05:15; 11/01/2023; 06:30
4; 11/01/2023; 10:30; 12/01/2023; 11:45
5; 12/01/2023; 03:15; 13/01/2023; 04:30
6; 13/01/2023; 01:00; 14/01/2023; 02:15
0; 14/01/2023; 09:45; 15/01/2023; 11:00
1; 15/01/2023; 12:00; 16/01/2023; 01:15
2; 16/01/2023; 05:30; 17/01/2023; 06:45
3; 17/01/2023; 08:15; 18/01/2023; 09:30
4; 18/01/2023; 01:45; 19/01/2023; 03:00
5; 19/01/2023; 10:00; 20/01/2023; 11:15
6; 20/01/2023; 11:30; 21/01/2023; 12:45
0; 21/01/2023; 06:00; 22/01/2023; 07:15
1; 22/01/2023; 12:45; 23/01/2023; 02:00
2; 23/01/2023; 09:30; 24/01/2023; 10:45
3; 24/01/2023; 04:15; 25/01/2023; 05:30
4; 25/01/2023; 02:00; 26/01/2023; 03:15
5; 26/01/2023; 07:30; 27/01/2023; 08:45
6; 27/01/2023; 08:45; 28/01/2023; 10:00
0; 28/01/2023; 02:15; 29/01/2023; 03:30
1; 29/01/2023; 11:00; 30/01/2023; 12:15
2; 30/01/2023; 06:30; 31/01/2023; 07:45
3; 31/01/2023; 01:30; 01/02/2023; 02:45
4; 01/02/2023; 10:30; 02/02/2023; 11:45
5; 02/02/2023; 03:45; 03/02/2023; 05:00
6; 03/02/2023; 09:15; 04/02/2023; 10:30
0; 04/02/2023; 04:30; 05/02/2023; 05:45
1; 05/02/2023; 11:30; 06/02/2023; 12:45
2; 06/02/2023; 06:45; 07/02/2023; 08:00
3; 07/02/2023; 12:45; 08/02/2023; 02:00
4; 08/02/2023; 09:00; 09/02/2023; 10:15
5; 09/02/2023; 02:30; 10/02/2023; 03:45
6; 10/02/2023; 08:00; 11/02/2023; 09:15
0; 11/02/2023; 05:00; 12/02/2023; 06:15
1; 12/02/2023; 10:00; 13/02/2023; 11:15
2; 13/02/2023; 03:00; 14/02/2023; 04:15
3; 14/02/2023; 07:30; 15/02/2023; 08:45
4; 15/02/2023; 01:15; 16/02/2023; 02:30
5; 16/02/2023; 12:15; 17/02/2023; 01:30
6; 17/02/2023; 04:45; 18/02/2023; 06:00
0; 18/02/2023; 11:45; 19/02/2023; 01:00
1; 19/02/2023; 09:30; 20/02/2023; 10:45
2; 01/03/2023; 10:00; 02/03/2023; 11:15
3; 15/04/2023; 02:30; 16/04/2023; 03:45
4; 30/05/2023; 04:45; 31/05/2023; 06:00
5; 15/07/2023; 09:15; 16/07/2023; 10:30
6; 31/08/2023; 11:30; 01/09/2023; 12:45
0; 15/10/2023; 06:00; 16/10/2023; 07:15

